	0
577e3edc-27f1-45c1-8ec2-4fda2fa427fc	1628
2516c18c-76de-4997-bff9-ee37b654063c	1510
11f33441-b5eb-43c8-85dc-b13f44653404	978
4773c347-ef0e-4ba6-8f5c-4b6ed0f9c378	1060
b5e1aa0a-e91b-4273-950c-944a2f1b65ac	1480
3b1f956c-98ea-4fa7-9795-d4dd6fac811c	945
f03ce32b-5fb1-4c03-8a79-00f49ad6d6f3	1693
1043e06c-eac5-4c2e-93ce-0af60f2f3155	1756
68c1cf62-7698-43d0-81ac-59d4548394f4	733
76cc8954-b650-4ec5-afdc-275795aed897	1358
f8576300-283c-4f37-954e-25c9d97521cb	1078
e6f16b9d-9e9a-4636-8749-f6a7162e571e	1396
29594536-18d5-4d83-8e6d-f08c0276e974	1164
886df7e8-172b-4bf4-a187-6f77e74316c2	1004
4896e39c-3073-4ce9-bc16-e115629a7ec6	1544
ecdff4cf-c39c-41db-9124-85d5e5e80d74	1344
597385a5-e254-41d0-a321-a720622854ba	1389
154c6718-7af6-4447-a6f6-6817b5c8caf3	1110
595377d6-fa17-42e8-a96a-642e8992d06e	1340
8a5e48cb-6473-4184-98e4-407c96bc48b0	1247
48f38cde-770e-4bc4-aa97-083bba38e2b2	2156
cfd55a6f-8d1e-4d69-9f70-bf22c4bb5f72	725
c73d3960-8b2e-4cfd-bfc1-d51355c8263b	632
b4183006-2d05-4527-8465-25d3021d80f6	1022
30c2535b-e000-42c1-9b60-0f02813cc701	2369
0c2c3e84-9673-4f61-8966-1957e0268f50	1430
9f999d22-1d11-4d65-8cfe-fae848f9e740	1802
e32d76c2-f91b-4d35-a664-9422132ade04	1390
3808e8fa-073d-4115-9cae-e66475e4cb8a	1150
49f6e7c7-0ae9-4011-b039-c5d82ecfc6b3	1394
ad6217f1-3302-4732-bd4a-424526e6f144	1123
98aedfd9-a6bb-4b0c-81f9-e93879f131cf	1234
f5b84bea-63fc-4180-b384-008d8c82ac46	1170
91f68959-2427-45f4-b78c-37db74b6e623	1489
c2592aad-9885-487c-885d-a22ebde83891	921
75ba3eca-7810-45f1-8c15-a041d23c536a	1203
d42af4ba-3588-4e69-ac95-03fcbc028bb0	1525
583f1e8d-46cb-4507-8aab-efb3fbff96c4	819
9eaf8bbe-e024-4e8e-92ce-7c77eeef929b	1369
107e5e0b-e512-48a0-9a06-5635f3b0d466	1497
68ce3423-d9c8-46cd-8a21-e460fd4dad1c	1091
41de8232-215a-40fa-8399-960f33ea9896	1328
393ab3e2-c9f7-44ae-9b6f-d31594f8b116	1387
ee6b0d8b-7d24-45d8-becf-d1e17a8fea3b	1435
abd5d41d-7094-4607-92a3-229252758b7d	2258
a59bd9da-a01c-4901-8b84-fc18784fc6d4	1097
5ecf5ffd-3f7f-40bd-b7ea-17ada270b8fc	1515
38b15e39-21a5-40f3-b0bb-6715aa0287fd	1999
3e8c44ac-3be7-412d-a00f-7b3d837fa7be	1176
391fe507-220b-4c85-9970-789ca1a66330	1253
685be56b-5028-4493-81f1-04e5c746de49	1363
c86e6bb8-f8fc-4b3a-a4b1-7bef116e15e7	1314
2df84cc9-4b58-458e-93d1-1de84b298d58	722
4098bc5f-3476-4914-8140-ae3f0c99fb38	1310
13abe8c7-e001-4f54-af5b-631b705ec58d	1263
2b4fc6d6-b8bb-41f8-ad17-da94877e470c	1007
3b0220a0-1795-4acd-8b9c-68c6c881df1f	972
f3c1116d-4e57-4241-87c5-fe88a3900914	943
906e226f-ae63-4250-855f-d8b4838bd50f	1304
d0378887-34cb-42f2-9511-2abfd95430f1	869
7cb91198-68e5-491d-a69f-be0eed556e4e	2019
dbfad04d-04a4-4142-8fd2-192f51cdd271	909
3ac6c60f-1804-46b1-ac0b-19fb5e2bbb7f	1031
abed1281-2290-4d90-8560-06c326636070	1972
85cffb12-9211-4294-a511-506e17df2d5c	1330
4155e5b2-593e-49b5-bddb-cebe31fe3fcb	1317
49a61bf8-e2f5-411a-ae08-4aa6d78aa047	746
f2010166-86b5-4424-baf5-a4f7276f60d9	920
2b27402b-0de0-4db2-a924-6d14dc156280	1237
0da3bde2-5c19-4585-b2a9-5d77b94ebf0a	1434
cd15ba91-dd9e-4343-a99a-bc587d55722e	1145
111f88c9-3c97-4a8d-9f47-39ea0efd522b	1381
e80258fb-b285-48fd-a9e5-6c8f194b36b3	1641
655d6ca5-94a0-46fa-a65b-73a724cb421f	1325
0f6e07f5-4c7d-4387-87e3-f93c2fb4f581	1654
dec83ecf-d50a-443e-abcf-791812c675de	641
d27428d5-ca0b-4d6c-9c37-6dc57c59f267	1437
510259dc-fb05-472e-8481-42ff885410b7	1041
fff846ca-b90b-4df0-915b-8e90579a624e	1208
30b68e09-e03f-4dce-8e2a-d04c97008f75	1706
568a8cba-4912-4593-bd73-539f9d573bb5	1186
421af1e0-68f8-4d53-9880-8c60e54e4cab	1493
6f62ea4e-211c-42ca-a2f8-21373ad95bce	1087
30931797-96a2-48e7-bdfe-766ed100fc5f	966
