type	ID	rowID	diff
N	78a96f67-a888-4a58-b3b5-527d89b1341f	2	69
N	796d8a8f-e85e-4aa3-b525-29fed1d718f1	-1	9
N	7b7b779d-a45d-42f5-b6ab-4e3e9230a1cc	-1	2
N	7bd33325-2140-419b-ad54-f312699af12b	-1	1
N	7c1e4178-8d06-485e-8b8c-4c751240984a_1	-1	2
N	7c9e9bca-d836-4fa4-8ca4-fc52c5d15a39	-1	3
N	7d727879-965e-4a01-8849-cbbdca39f199	-1	98
N	7f28a225-011e-45c4-b8fb-ba9d77b8cb53	-1	2
N	7f9e53ea-ab47-428f-a724-9e47e7651a06	0	1
N	8017c1df-4bfd-476e-b9f4-94619888115b	-1	1
N	816815bb-fada-43e8-b5ae-98717c4f21ce	-1	1
N	82124a36-e37e-4350-9f82-aad5241c0c65	-1	1
N	826507d6-0af5-42e9-bdd1-73d022fa6db5	-1	2
N	82c4bca7-25c5-459c-9a73-6e073abca8f4	-1	297
N	82de9844-6356-4c55-b698-46917b2fad47	1	2
N	8358d2cd-f339-4cf2-a6e7-f8e81cdb1e7c_1	-1	2
FC1	83b204ea-8c5b-4517-88c9-42207f4fe603	-1	2
N	84364e36-f958-462a-a3de-e3fa9d595565_1	-1	2
N	84f8a07a-e4e5-49c5-9a86-4d1222d705fe_1	-1	7
N	85799955-3181-49ea-b39c-84755c50c0d6	-1	6
N	85fc393a-aa33-4aca-9656-7a4a300e8259	-1	6
N	87abe02e-a30d-44e2-a230-4ec5f28a18f9	-1	3
N	88486fd8-b213-41a4-8d83-caa9a2153d26	-1	2
N	887d8299-e938-46e4-8a6d-f0143a7cc0c3	-1	7
F1	88d861a7-8cb4-42ad-8a39-181fd2040469	-1	2
N	89f6011e-8e2d-4abc-a59c-0eac8cbdaf6f	-1	4
N	8a74145a-e25d-456d-b7d8-d0219b32ba6d	-1	2
N	8ad22c1a-5795-4b26-9b58-26c427f898f8	-1	0
N	8b2691f1-de17-4506-856b-ac7bf19d02be	-1	2
N	8b69e63f-2a7c-4d35-886e-f90d40ef893d_1	-1	2
N	8bd99fea-e2db-4ff2-9ba3-96f78b7e9b74	-1	2
N	8e34d2f1-5aa4-47c3-bdfa-4dc89cbeba8f	-1	2
N	8e6bea69-40e7-46a1-a326-a9cdd87cb6a0_1	-1	6
N	8ecb028e-7598-484e-b120-f39d526b8a8d	-1	3
C1	9015ca30-84f7-4d74-bc68-a81ee611ecc6	-1	3
N	90f0b714-6efe-4fe2-8f3e-e4016cfb4efc	-1	5
N	91d96472-ab48-409f-baf8-58530463b5b0	-1	2
N	91f68959-2427-45f4-b78c-37db74b6e623	-1	1
N	9261b810-a8a2-4d2f-b3ba-bcc09797ee9c	-1	0
N	92bc14b9-6a73-4bff-96ba-f268a8dc7fed	-1	27
F1	9304c747-3333-43cd-b97d-cdbecb4754cf_1	-1	0
N	9433b4a0-cca9-4ae4-a0d4-2c09bb5fab0f	-1	1
N	94f4790e-be72-49e3-ba07-52744742adc8	-1	4
N	95b3fe73-9c80-41e6-bdde-5796fbd12aca	-1	6
N	966432e0-bb47-47fd-9ee6-6c719a0508e4	-1	5
N	982e7621-ec0d-45f5-a36f-7f285174de92	-1	10
N	98aedfd9-a6bb-4b0c-81f9-e93879f131cf	-1	3
N	997905a2-eba0-44f0-8679-98c07723661e	-1	0
N	9c56391a-797f-48cb-bd39-dd097590cfc4	-1	1
N	9d21fe6e-d0c5-4e8b-b0ca-84ae14833802	-1	10
N	9d72dbf7-553f-4261-a2db-ef0a67757b99	-1	2
N	9de99365-4447-4a93-887e-724eaa8a0ee1	-1	9
N	9e3e1385-8e10-40e4-8b96-ed7f12931511	3	0
N	9eaf8bbe-e024-4e8e-92ce-7c77eeef929b	-1	3
N	9ed1ab5f-76da-48e3-89ac-266f9cae947c	-1	2
N	9f9e4cb5-e168-4a0c-a2d4-8e3b4a390f4e	-1	88
N	a105aacd-7161-45f9-9463-43413988ec51	0	20
N	a15b8a11-961c-44e0-a3b9-a43158829e49	-1	3
F1	a1c73142-0626-4196-a3da-8fed75809513	-1	0
N	a2ee8d1f-ebe8-41ac-9bda-f1a391395fc6	-1	1
N	a3afa9d2-f5a3-49d5-9e76-71dea7b9a9b9	-1	8
N	a3d32e18-55fe-4b65-987d-a876ad41cf15	-1	5
N	a4628a71-42d6-41a5-b1e2-70fb808e32b1	-1	84
N	a4d05fef-e1c8-4216-b99e-3563164a302f_1	-1	2
N	a54394cc-8429-4ae1-a9e8-5b42a659fe66	-1	0
N	a584091d-f89d-4fc9-aec7-6f82da9f2f77	-1	2
N	a5b97f0e-9e2c-4e8a-8846-0336defa4aa5	-1	0
N	a6832f96-3bda-4fa4-893e-bbd3fafc0137	-1	17
N	a713503b-2e3f-4442-9827-21132503d35b	-1	2
N	a7a858c0-9d03-4b15-8a7c-f800f60e15d9_1	-1	3
C1	a8886ba2-9f3b-485f-97fe-42c11de4b7e3	-1	163
N	a9443692-b126-4527-b0a7-8d10decb4328	-1	0
N	a9eb9965-5d4b-47a6-adec-876a599b6eb6	-1	1
N	ab0cf8e2-d9a8-494c-b621-253089aae950	-1	1
N	abaac121-066f-4464-8d47-c36ecd1ccc7b	-1	2
N	abe6f8e7-5d0c-4c34-a9c9-890569cc971a	-1	5
N	abee279b-c88e-497b-9e64-48f2219375eb	-1	61
N	ad4232a7-9d54-4aa7-a06d-00464b9b2462	-1	1
N	ad489956-0e7d-4668-b2d7-d1af78980e6a	-1	1
N	ae7af071-c72c-4ec0-9f6a-c756766bc511	-1	1
N	af033364-392b-43dd-89c0-276237008288	-1	5
N	af9da618-8ac8-443a-9dc9-2e022d46e6a1	-1	4
N	afba223f-0e49-4ef0-bda5-f36b51fb878c	-1	2
N	afff32c4-ed3f-42ca-8e0b-bb7861563a43	-1	3
N	b13749c9-0485-48cd-8a48-aa4666972c4f	-1	2
N	b20a57a7-7221-4196-bcbe-6d6f934b5f0b	-1	1
N	b2af8e9d-906c-43e5-980b-0b18242a24be	-1	44
N	b3b29775-5a28-45f7-b71c-711799519199	-1	3
N	b4183006-2d05-4527-8465-25d3021d80f6	1	0
N	b54682a7-bf9b-46bb-ac46-8f98b61cbeeb_1	-1	22
N	b5f89939-7942-4a35-93c9-9c26c4cb720e_1	-1	5
N	b6710f12-3cfa-478a-8c9b-a941728fa03b	2	65
N	b79b867b-b44d-4219-99f0-1c39a029aeb8	-1	1
N	b8ced3df-0a6c-4809-a3dd-e075364d79f9	-1	2
N	b9527452-dbeb-4876-bd33-b2208a1e0cb3	-1	0
N	b9fcd256-9577-44cb-91f7-117adccf9c54	-1	0
N	bbddc3ad-715a-4f1f-a7e5-34d92fe444c6	-1	1
N	bc571882-833c-488d-bc2b-a18e0edd2ebd	-1	2
N	bdbe8eb6-a24b-442b-8161-d409013fe38f_1	-1	5
N	be819961-1cc9-4190-837c-f7e916fe8d5e_1	-1	41
F1	bf03220c-8f6c-4421-b94e-3f880ed63df5	-1	2
N	c0193416-9a73-4a32-a0f6-6cd9480c8ef3	-1	57
N	c098369a-cc0d-4b8f-8b01-e91c5f69d8cb	-1	23
N	c1ef261e-e486-4198-8ae8-64a20355b3f6	0	94
N	c2ae4e45-5774-4307-82b3-554ea3c2b8ac	-1	1
N	c2d4e343-4cd9-43d0-ae17-b41e4acffa72	-1	222
N	c49f089b-b5ee-4a9a-8c01-2f6aaacb766d	-1	3
N	c53f89c1-370f-491b-ad83-0c924ba576ee_1	-1	3
N	c63655a1-77f6-4ed3-804f-3297c5ccc7ca_1	-1	52
N	c7652345-d5f8-4483-8ab1-5a3e47026f54	-1	4
N	c8390994-38d9-4d35-9a42-6a348e28b5dd	1	0
FC1	c86e6bb8-f8fc-4b3a-a4b1-7bef116e15e7	-1	2
FC1	c9360bc9-e888-48e3-a610-2d6c2b418f31	-1	89
N	c9e9f0a9-b71c-4819-a89a-1745ec39b0e6	-1	1
N	ca5acc7c-c42b-4aaf-b1cd-e63d70a0c46b	-1	2
N	cb648d7f-1fd0-4057-b141-24f5bd936c3b	-1	2
N	cc8a480f-3f3b-4de9-83d0-a242b379c9e5	-1	2
N	cd15ba91-dd9e-4343-a99a-bc587d55722e	-1	1
N	cd92bb32-043d-469a-8c58-6c7934486f8f	-1	0
F1	ce8f5e8e-466b-4717-a97a-2ef6637f9ee9	-1	2
N	cebfd623-6cbf-4fd6-9f11-92c3a1eba987_1	-1	2
C1	cfbe88e5-2e97-4077-8ed0-9da5290512f7_1	-1	3
N	d029fad0-6e23-4c5c-986f-4de52a1e1623	-1	8
N	d03940d8-1c02-40fb-b527-b0b1833e319e	-1	7
F1	d134cf71-f342-4993-a479-92dcf2f470c2	-1	2
N	d1b3ec49-2e9b-4488-a2a6-91b8e2ce5316	-1	2
N	d2c28187-8e3a-4a6d-9c26-061c46a568e5	-1	4
N	d336b4e2-0317-45e8-a446-72d6dce24848	-1	4
N	d42af4ba-3588-4e69-ac95-03fcbc028bb0_1	-1	2
N	d4aa8f3a-8389-4017-8c15-4328eabe5300	-1	3
N	d59cea30-44e0-499a-98b4-0d3d39c7d974	-1	4
N	d610279b-4218-40d4-9bdc-f54b6c2f189e	1	5
N	d6d99a92-0ea0-4ec2-a178-facb25f42701	-1	600
N	d74e97ff-6699-4794-af60-66318607e857	-1	107
N	d8a7fc78-f022-48be-8d83-729aeecb7229_1	0	8
N	d8f8077a-be14-4c96-b6dd-3c4d8ef38425	-1	2
N	d94d4e70-a1ca-4099-b380-466d1266be34	2	64
N	da15e1f8-5301-4e18-90d1-5da85d096fa0_1	-1	1
N	dae2fd86-6f48-4be0-91de-ea37d1a87362	-1	0
F1	dbfad04d-04a4-4142-8fd2-192f51cdd271	-1	2
N	dd26732b-fa8f-4ae2-9a78-d682f19f81b0	-1	2
N	dd54c766-04ac-4cb2-a983-f36948d3b4ca	-1	9
N	de0298a3-2d65-4dfc-908c-8003c4e2ff91	-1	0
N	de497304-3d19-42b5-86a8-4e83398c611c	-1	3
F1	dfb5dddc-34f3-4553-aade-f23a69d1c618	-1	2
N	dfe4f5e9-58a4-43b3-8845-c462140178a9	-1	2
N	e15e5a65-dd8b-4627-938d-4ddd4ddd895d_1	-1	0
N	e181ceb9-0e43-4bad-9772-5fc3751c9df9	-1	1
N	e2c5f549-f683-40f3-86d6-7f6ef473146a	-1	5
N	e3e8f361-85ee-458a-be43-cede69829122	-1	5
N	e49a10f3-7953-4c6c-acc5-cdfe1d663ddf	-1	7
N	e53cd095-978a-42fe-902f-629fb5774f3b	-1	1
N	e5df5166-09b0-48cb-a739-dc2684f9c185_1	-1	3
N	e6a5de7b-6e04-4c8a-a843-7d8740681f2c	-1	1
N	e763f750-9f8d-4aa9-a96a-2d728cbd407e	-1	2
N	e7b31c21-8993-4e58-952e-4503c69d04fe_1	-1	2
N	e7f75381-6808-496e-afca-32fb7e892ae1_1	-1	0
N	e85c29dd-4d11-4dc7-b19f-b76a9a124e63	-1	405
N	e931bdc2-2b27-4bea-8f38-a52209ba302f_1	-1	486
N	ea989dac-7c73-4101-b07f-2b66174aeeb1	-1	118
C1	ebdb6f71-c674-4681-9891-8f45eb4a4d17	-1	4
N	ec26e06d-3dd1-4668-864c-902f12b38377	-1	0
N	ec7f135d-e3b2-4412-8ce3-1341720b412b	-1	5
N	eceffae1-2cd0-463b-b15c-1be8c7f5238c	-1	9
N	ed96691a-4c02-4d4e-96aa-42caf5b82087	-1	2
N	edb3307d-701c-45dc-98cb-d071092aaae8	-1	2
N	eefd485a-5b68-4487-9a0a-5f617c921ee9	-1	3
N	f08d8046-1b1b-4efd-aad9-49c2bdc9509a	-1	12
N	f1e30d5c-d216-44a9-a8fe-429371192c93	-1	1
N	f22c0dae-96e1-4500-85a5-c7fee9300a3b	-1	17
N	f28a62ce-ebc3-4ee9-9d4e-270885589d18	-1	2
FC1	f33210ec-42a2-4b05-a6dd-bc57235ab72d	-1	2
N	f4375399-6384-4254-86e0-6419ebdfb225	-1	1
FC1	f55dc274-8832-4970-9813-10ddebcbb2f4	-1	0
N	f63947b1-34a3-40fc-a1ca-05c71b463767	-1	0
F1	f7b447ab-2abe-4aac-9f60-8d8a6a20473f	-1	2
N	f93de55b-bb13-46e4-a2a9-c10181c0cfa5	-1	47
N	fa166552-b181-452c-811f-e7d9950d63eb	-1	37
N	fa657c64-0820-4913-968d-3bbe25e5a1a9	-1	43
N	fb26def5-16d1-42f9-8286-88f5d729aafb	-1	1
C1	fb826610-db49-49ee-848c-215e0dae86e6	-1	2
N	fbd6fb74-1654-491f-996d-a5696036a76e	-1	0
N	fc05015f-7645-463d-830c-d04cb0d9bd9b	-1	4
N	fdb78441-3099-4113-be7b-d24695f3069a	-1	1
N	ff489d83-5c88-4807-96cb-3087c7b74a93	-1	1
